attribute_name,description,data_type,allowed_values,unit
population,Number of inhabitants,integer,,
area,Total area in square kilometers,float,,km²
elevation,Height above sea level,float,,meters
birth_date,Date of birth,date,,
status,Current status,string,active;inactive;pending,
is_endangered,Whether the species is endangered,boolean,,
color,Color of the object,string,,
mass,Mass of the object,float,,kg
length,Length of the object,float,,meters
volume,Volume of the object,float,,liters
temperature,Temperature,float,,Celsius
atomic_number,Number of protons in an atom,integer,,
molecular_weight,Molecular weight of a compound,float,,g/mol
charge,Electric charge,float,,Coulombs
is_vertebrate,Whether the animal is a vertebrate,boolean,,
habitat,Typical habitat,string,forest;desert;marine;freshwater;urban,
lifespan,Average lifespan,integer,,years
GDP,Gross Domestic Product,float,,USD
climate_zone,Climate classification,string,tropical;arid;temperate;polar;mountain,
